subject_id	subject_label	predicate_id	object_id	mapping_justification
GO:0000010	trans-hexaprenyltranstransferase activity	oio:hasDbXref	EC:2.5.1.30	semapv:ManualMappingCuration
GO:0000010	trans-hexaprenyltranstransferase activity	oio:hasDbXref	MetaCyc:TRANS-HEXAPRENYLTRANSTRANSFERASE-RXN	semapv:ManualMappingCuration
GO:0000010	trans-hexaprenyltranstransferase activity	oio:hasDbXref	RHEA:27794	semapv:ManualMappingCuration
GO:0000016	lactase activity	oio:hasDbXref	EC:3.2.1.108	semapv:ManualMappingCuration
GO:0000016	lactase activity	oio:hasDbXref	MetaCyc:BETAGALACTOSID-RXN	semapv:ManualMappingCuration
GO:0000016	lactase activity	oio:hasDbXref	RHEA:10076	semapv:ManualMappingCuration
GO:0000025	maltose catabolic process	oio:hasDbXref	MetaCyc:MALTOSECAT-PWY	semapv:ManualMappingCuration
GO:0000034	adenine deaminase activity	oio:hasDbXref	EC:3.5.4.2	semapv:ManualMappingCuration
GO:0000034	adenine deaminase activity	oio:hasDbXref	MetaCyc:ADENINE-DEAMINASE-RXN	semapv:ManualMappingCuration
GO:0000034	adenine deaminase activity	oio:hasDbXref	RHEA:23688	semapv:ManualMappingCuration
GO:0000048	peptidyltransferase activity	oio:hasDbXref	EC:2.3.2.12	semapv:ManualMappingCuration
GO:0000048	peptidyltransferase activity	oio:hasDbXref	MetaCyc:PEPTIDYLTRANSFERASE-RXN	semapv:ManualMappingCuration
GO:0000050	urea cycle	oio:hasDbXref	Wikipedia:Urea_cycle	semapv:ManualMappingCuration
GO:0000075	cell cycle checkpoint signaling	oio:hasDbXref	Wikipedia:Cell_cycle_checkpoint	semapv:ManualMappingCuration
GO:0000077	DNA damage checkpoint signaling	oio:hasDbXref	Wikipedia:DNA_damage_checkpoint	semapv:ManualMappingCuration
GO:0000077	DNA damage checkpoint signaling	oio:hasDbXref	Wikipedia:Postreplication_checkpoint	semapv:ManualMappingCuration
GO:0000104	succinate dehydrogenase activity	oio:hasDbXref	KEGG_REACTION:R00412	semapv:ManualMappingCuration
GO:0000104	succinate dehydrogenase activity	oio:hasDbXref	RHEA:16357	semapv:ManualMappingCuration
GO:0000105	histidine biosynthetic process	oio:hasDbXref	MetaCyc:HISTSYN-PWY	semapv:ManualMappingCuration
GO:0000107	imidazoleglycerol-phosphate synthase activity	oio:hasDbXref	MetaCyc:GLUTAMIDOTRANS-RXN	semapv:ManualMappingCuration
GO:0000107	imidazoleglycerol-phosphate synthase activity	oio:hasDbXref	RHEA:24793	semapv:ManualMappingCuration
GO:0000121	glycerol-1-phosphatase activity	oio:hasDbXref	EC:3.1.3.21	semapv:ManualMappingCuration
GO:0000121	glycerol-1-phosphatase activity	oio:hasDbXref	MetaCyc:GLYCEROL-1-PHOSPHATASE-RXN	semapv:ManualMappingCuration
GO:0000121	glycerol-1-phosphatase activity	oio:hasDbXref	RHEA:11476	semapv:ManualMappingCuration
GO:0000128	flocculation	oio:hasDbXref	Wikipedia:Flocculation	semapv:ManualMappingCuration
GO:0000140	acylglycerone-phosphate reductase activity	oio:hasDbXref	EC:1.1.1.101	semapv:ManualMappingCuration
GO:0000140	acylglycerone-phosphate reductase activity	oio:hasDbXref	MetaCyc:ACYLGLYCERONE-PHOSPHATE-REDUCTASE-RXN	semapv:ManualMappingCuration
GO:0000140	acylglycerone-phosphate reductase activity	oio:hasDbXref	RHEA:17341	semapv:ManualMappingCuration
GO:0000145	exocyst	oio:hasDbXref	Wikipedia:Exocyst	semapv:ManualMappingCuration
GO:0000146	microfilament motor activity	oio:hasDbXref	EC:5.6.1.8	semapv:ManualMappingCuration
GO:0000155	phosphorelay sensor kinase activity	oio:hasDbXref	EC:2.7.3.-	semapv:ManualMappingCuration
GO:0000162	tryptophan biosynthetic process	oio:hasDbXref	MetaCyc:TRPSYN-PWY	semapv:ManualMappingCuration
GO:0000165	MAPK cascade	oio:hasDbXref	Wikipedia:MAPK_cascade	semapv:ManualMappingCuration
GO:0000165	MAPK cascade	oio:hasDbXref	Wikipedia:Mitogen-activated_protein_kinase	semapv:ManualMappingCuration
GO:0000171	ribonuclease MRP activity	oio:hasDbXref	Wikipedia:RNase_MRP	semapv:ManualMappingCuration
GO:0000175	3'-5'-RNA exonuclease activity	oio:hasDbXref	EC:3.1.13.-	semapv:ManualMappingCuration
GO:0000184	nuclear-transcribed mRNA catabolic process, nonsense-mediated decay	oio:hasDbXref	Wikipedia:Nonsense-mediated_decay	semapv:ManualMappingCuration
GO:0000184	nuclear-transcribed mRNA catabolic process, nonsense-mediated decay	oio:hasDbXref	Wikipedia:Nonsense-mediated_mRNA_decay	semapv:ManualMappingCuration
GO:0000210	NAD+ diphosphatase activity	skos:broadMatch	EC:3.6.1.22	semapv:ManualMappingCuration
GO:0000210	NAD+ diphosphatase activity	oio:hasDbXref	MetaCyc:NADPYROPHOSPHAT-RXN	semapv:ManualMappingCuration
GO:0000210	NAD+ diphosphatase activity	oio:hasDbXref	RHEA:11800	semapv:ManualMappingCuration
GO:0000213	tRNA-intron endonuclease activity	oio:hasDbXref	EC:4.6.1.16	semapv:ManualMappingCuration
GO:0000213	tRNA-intron endonuclease activity	oio:hasDbXref	MetaCyc:3.1.27.9-RXN	semapv:ManualMappingCuration
GO:0000215	tRNA 2'-phosphotransferase activity	oio:hasDbXref	EC:2.7.1.160	semapv:ManualMappingCuration
GO:0000215	tRNA 2'-phosphotransferase activity	oio:hasDbXref	MetaCyc:2.7.1.160-RXN	semapv:ManualMappingCuration
GO:0000215	tRNA 2'-phosphotransferase activity	oio:hasDbXref	RHEA:23324	semapv:ManualMappingCuration
GO:0000224	peptide-N4-(N-acetyl-beta-glucosaminyl)asparagine amidase activity	oio:hasDbXref	EC:3.5.1.52	semapv:ManualMappingCuration
GO:0000224	peptide-N4-(N-acetyl-beta-glucosaminyl)asparagine amidase activity	oio:hasDbXref	MetaCyc:3.5.1.52-RXN	semapv:ManualMappingCuration
GO:0000225	N-acetylglucosaminylphosphatidylinositol deacetylase activity	oio:hasDbXref	EC:3.5.1.89	semapv:ManualMappingCuration
GO:0000225	N-acetylglucosaminylphosphatidylinositol deacetylase activity	oio:hasDbXref	MetaCyc:3.1.1.69-RXN	semapv:ManualMappingCuration
GO:0000225	N-acetylglucosaminylphosphatidylinositol deacetylase activity	oio:hasDbXref	RHEA:11660	semapv:ManualMappingCuration
GO:0000234	phosphoethanolamine N-methyltransferase activity	oio:hasDbXref	EC:2.1.1.103	semapv:ManualMappingCuration
GO:0000234	phosphoethanolamine N-methyltransferase activity	oio:hasDbXref	KEGG_REACTION:R02037	semapv:ManualMappingCuration
